,,


As of:,"Feb 16, 2018"

,,
Effective date ,S&P 500 VIX Short-Term Index MCAP
1/31/2008,73473.46
2/1/2008,71545.87
2/4/2008,74104.64
2/5/2008,78296.39
2/6/2008,80392.66
2/7/2008,79182.55
2/8/2008,80595.53
2/11/2008,78796.14
2/12/2008,77774.19
2/13/2008,75075.47
2/14/2008,76131.92
2/15/2008,75415.1
2/19/2008,74503.32
2/20/2008,74024.49
2/21/2008,73961.15
2/22/2008,72336.6
2/25/2008,70429.64
2/26/2008,69303.5
2/27/2008,69884.82
2/28/2008,71873.02
2/29/2008,75999.05
3/3/2008,75975.49
3/4/2008,74675.88
3/5/2008,72828.2
3/6/2008,77892.27
3/7/2008,77846.52
3/10/2008,80078.21
3/11/2008,75599.48
3/12/2008,77827.72
3/13/2008,78103.85
3/14/2008,82771.58
3/17/2008,83258.76
3/18/2008,76142.28
3/19/2008,79661.11
3/20/2008,78463.83
3/24/2008,76663.65
3/25/2008,76666.21
3/26/2008,78399.71
3/27/2008,77841.56
3/28/2008,77884.23
3/31/2008,76487.95
4/1/2008,71297.95
4/2/2008,72534.08
4/3/2008,71887.03
4/4/2008,71526.26
4/7/2008,69248.75
4/8/2008,68883.49
4/9/2008,70609.58
4/10/2008,69385.48
4/11/2008,71446.37
4/14/2008,71176.78
4/15/2008,69755.89
4/16/2008,65614.31
4/17/2008,65844.76
4/18/2008,63505.34
4/21/2008,62668.27
4/22/2008,63187.84
4/23/2008,62524.24
4/24/2008,60919.65
4/25/2008,59396.88
4/28/2008,58941.98
4/29/2008,59698.34
4/30/2008,61051.7
5/1/2008,57395.97
5/2/2008,56672.88
5/5/2008,57246.2
5/6/2008,55029.35
5/7/2008,57609.4
5/8/2008,57653.23
5/9/2008,58184.98
5/12/2008,56237.71
5/13/2008,55997.57
5/14/2008,54768.45
5/15/2008,53377.66
5/16/2008,53912.31
5/19/2008,52862.81
5/20/2008,55683.78
5/21/2008,59217.04
5/22/2008,58156.69
5/23/2008,59504.8
5/27/2008,57728.33
5/28/2008,57150.11
5/29/2008,53717.5
5/30/2008,52422.68
6/2/2008,55471.78
6/3/2008,56527.28
6/4/2008,56731.01
6/5/2008,53765.78
6/6/2008,59705.69
6/9/2008,58638.27
6/10/2008,58726.43
6/11/2008,60491.85
6/12/2008,59678.68
6/13/2008,57328.4
6/16/2008,56553.06
6/17/2008,56439.29
6/18/2008,58109.81
6/19/2008,57096.76
6/20/2008,58458.87
6/23/2008,58492.46
6/24/2008,58841.24
6/25/2008,56352.18
6/26/2008,61124.53
6/27/2008,60796.11
6/30/2008,60023.76
7/1/2008,59873.35
7/2/2008,62971.94
7/3/2008,62451.7
7/7/2008,63031.45
7/8/2008,59407.95
7/9/2008,62537.7
7/10/2008,62952.8
7/11/2008,64396.62
7/14/2008,66089.98
7/15/2008,66700.26
7/16/2008,63128.2
7/17/2008,61928.27
7/18/2008,61421.9
7/21/2008,59857.02
7/22/2008,57575.38
7/23/2008,57516.47
7/24/2008,60269.8
7/25/2008,60024.09
7/28/2008,61919.18
7/29/2008,58206.91
7/30/2008,55601.01
7/31/2008,58259.85
8/1/2008,58623.61
8/4/2008,58384.12
8/5/2008,55614.09
