Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2018-02-15,17.85,17.85,17.28,17.35,17.375,-0.35,4400.0,0.0,23206.0
2018-02-14,18.15,18.6,17.63,17.75,17.725,-0.4,5477.0,0.0,23404.0
2018-02-13,17.94,18.5,17.9,18.1,18.125,0.2,3676.0,0.0,23195.0
2018-02-12,17.67,18.2,17.45,17.94,17.925,0.22,5925.0,0.0,22693.0
2018-02-09,18.75,19.72,17.69,17.69,17.7,-1.05,7674.0,0.0,22911.0
2018-02-08,17.85,19.25,17.65,18.73,18.75,0.58,12036.0,0.0,23976.0
2018-02-07,18.4,18.47,17.2,17.85,18.175,0.02,9211.0,0.0,22364.0
2018-02-06,20.0,20.25,17.4,18.72,18.15,-2.28,14257.0,0.0,21486.0
2018-02-05,16.1,23.0,15.68,22.85,20.425,4.5,10109.0,0.0,20151.0
2018-02-02,15.4,16.0,15.15,15.92,15.925,0.55,5409.0,0.0,17416.0
2018-02-01,15.49,15.67,15.23,15.4,15.375,-0.1,3793.0,0.0,16498.0
2018-01-31,15.74,15.77,15.42,15.48,15.475,-0.25,3896.0,0.0,16062.0
2018-01-30,15.65,15.99,15.58,15.72,15.725,0.15,5454.0,0.0,15239.0
2018-01-29,15.27,15.65,15.27,15.58,15.575,0.3,4209.0,0.0,14514.0
2018-01-26,15.35,15.37,15.2,15.26,15.275,-0.05,4588.0,0.0,14329.0
2018-01-25,15.35,15.4,15.17,15.35,15.325,0.05,5937.0,0.0,13188.0
2018-01-24,15.2,15.5,15.15,15.29,15.275,0.1,5338.0,0.0,11315.0
2018-01-23,15.02,15.24,14.97,15.19,15.175,0.15,5115.0,0.0,10882.0
2018-01-22,15.18,15.29,15.0,15.02,15.025,-0.1,1867.0,0.0,9961.0
2018-01-19,15.25,15.28,15.04,15.16,15.125,-0.05,2185.0,0.0,9336.0
2018-01-18,15.15,15.44,15.02,15.18,15.175,0.0,3045.0,0.0,8934.0
2018-01-17,15.37,15.37,15.1,15.2,15.175,-0.15,5161.0,0.0,8163.0
2018-01-16,14.48,15.08,14.4,14.92,14.925,0.4,6572.0,0.0,14729.0
2018-01-12,14.5,14.55,14.4,14.51,14.525,0.0,3617.0,0.0,14302.0
2018-01-11,14.6,14.65,14.52,14.55,14.525,-0.15,3054.0,0.0,13815.0
2018-01-10,14.83,14.95,14.65,14.7,14.675,-0.1,2593.0,0.0,12634.0
2018-01-09,14.85,14.85,14.7,14.75,14.775,-0.05,2423.0,0.0,12058.0
2018-01-08,14.65,14.87,14.65,14.83,14.825,0.0,1923.0,0.0,11676.0
2018-01-05,15.01,15.03,14.8,14.8,14.825,-0.15,2836.0,0.0,11149.0
2018-01-04,14.95,15.05,14.81,14.98,14.975,0.05,2137.0,0.0,10283.0
2018-01-03,15.1,15.13,14.9,14.95,14.925,-0.2,2938.0,0.0,9685.0
2018-01-02,15.4,15.45,15.13,15.14,15.125,-0.3,2159.0,0.0,8727.0
2017-12-29,15.46,15.47,15.3,15.45,15.425,0.0,2256.0,0.0,8549.0
2017-12-28,15.43,15.47,15.38,15.42,15.425,0.0,1168.0,0.0,8045.0
